semester,year,dept,course_count
1516F,1516,BIOL,12
1516F,1516,BLST,22
1516F,1516,BRUS,1
1516F,1516,CHEM,7
1516F,1516,CHIN,5
1516F,1516,CLAS,1
1516F,1516,COSC,6
1516F,1516,ECON,17
1516F,1516,ENGL,40
1516F,1516,ENST,6
1516F,1516,EUST,17
1516F,1516,FAMS,22
1516F,1516,FREN,9
1516F,1516,FYSE,29
1516F,1516,GEOL,7
1516F,1516,GERM,7
1516F,1516,GREE,4
1516F,1516,HIST,27
1516F,1516,JAPA,16
1516F,1516,LATI,3
1516F,1516,LJST,8
1516F,1516,MATH,14
1516F,1516,MIXD,97
1516F,1516,MUSI,19
1516F,1516,NEUR,3
1516F,1516,PHIL,8
1516F,1516,PHYS,8
1516F,1516,POSC,19
1516F,1516,PSYC,14
1516F,1516,RELI,9
1516F,1516,RUSS,7
1516F,1516,SOCI,9
1516F,1516,SPAN,14
1516F,1516,STAT,8
1516F,1516,SWAG,17
1516F,1516,THDA,14
1516S,1516,AMST,10
1516S,1516,ANTH,8
1516S,1516,ARAB,3
1516S,1516,ARCH,5
1516S,1516,ARHA,34
1516S,1516,ASLC,9
1516S,1516,ASTR,2
1516S,1516,BCBP,4
1516S,1516,BIOL,12
1516S,1516,BLST,21
1516S,1516,CHEM,9
1516S,1516,CHIN,4
1516S,1516,CLAS,4
1516S,1516,COLQ,6
1516S,1516,COSC,7
1516S,1516,ECON,13
1516S,1516,ENGL,36
1516S,1516,ENST,5
1516S,1516,EUST,20
1516S,1516,FAMS,17
1516S,1516,FREN,11
1516S,1516,GEOL,6
1516S,1516,GERM,8
1516S,1516,GREE,3
1516S,1516,HIST,20
1516S,1516,JAPA,16
1516S,1516,LATI,3
1516S,1516,LJST,9
1516S,1516,MATH,20
1516S,1516,MIXD,89
1516S,1516,MUSI,120
1516S,1516,NEUR,2
1516S,1516,PHIL,10
1516S,1516,PHYS,8
1516S,1516,POSC,19
1516S,1516,PSYC,16
1516S,1516,RELI,10
1516S,1516,RUSS,7
1516S,1516,SOCI,9
1516S,1516,SPAN,13
1516S,1516,STAT,8
1516S,1516,SWAG,21
1516S,1516,THDA,19
1617F,1617,AMST,8
1617F,1617,ANTH,10
1617F,1617,ARAB,4
1617F,1617,ARCH,10
1617F,1617,ARHA,29
1617F,1617,ASLC,17
1617F,1617,ASTR,2
1617F,1617,BCBP,3
1617F,1617,BIOL,15
1617F,1617,BLST,15
1617F,1617,CHEM,8
1617F,1617,CHIN,4
1617F,1617,CLAS,2
1617F,1617,COSC,7
1617F,1617,ECON,13
1617F,1617,ENGL,37
1617F,1617,ENST,6
1617F,1617,EUST,19
1617F,1617,FAMS,14
1617F,1617,FREN,8
1617F,1617,FYSE,30
1617F,1617,GEOL,5
1617F,1617,GERM,7
1617F,1617,GREE,4
1617F,1617,HIST,28
1617F,1617,JAPA,15
1617F,1617,LATI,3
1617F,1617,LJST,11
1617F,1617,MATH,17
1617F,1617,MIXD,98
1617F,1617,MUSI,13
1617F,1617,MUSL,97
1617F,1617,NEUR,5
1617F,1617,PHIL,7
1617F,1617,PHYS,7
1617F,1617,POSC,19
1617F,1617,PSYC,17
1617F,1617,RELI,10
1617F,1617,RUSS,7
1617F,1617,SOCI,8
1617F,1617,SPAN,11
1617F,1617,STAT,8
1617F,1617,SWAG,17
1617F,1617,THDA,15
1617S,1617,AMST,12
1617S,1617,ANTH,10
1617S,1617,ARAB,4
1617S,1617,ARCH,10
1617S,1617,ARHA,32
1617S,1617,ASLC,14
1617S,1617,ASTR,3
1617S,1617,BCBP,6
1617S,1617,BIOL,17
1617S,1617,BLST,26
1617S,1617,CHEM,7
1617S,1617,CHIN,4
1617S,1617,CLAS,2
1617S,1617,COLQ,6
1617S,1617,COSC,6
1617S,1617,ECON,15
1617S,1617,ENGL,44
1617S,1617,ENST,4
1617S,1617,EUST,26
1617S,1617,FAMS,17
1617S,1617,FREN,9
1617S,1617,GEOL,6
1617S,1617,GERM,8
1617S,1617,GREE,4
1617S,1617,HIST,24
1617S,1617,JAPA,15
1617S,1617,LATI,3
1617S,1617,LJST,10
1617S,1617,MATH,19
1617S,1617,MIXD,104
1617S,1617,MUSI,14
1617S,1617,MUSL,97
1617S,1617,NEUR,2
1617S,1617,PHIL,9
1617S,1617,PHYS,8
1617S,1617,POSC,21
1617S,1617,PSYC,11
1617S,1617,RELI,10
1617S,1617,RUSS,14
1617S,1617,SOCI,6
1617S,1617,SPAN,15
1617S,1617,STAT,7
1617S,1617,SWAG,26
1617S,1617,THDA,17
1718F,1718,AMST,12
1718F,1718,ANTH,13
1718F,1718,ARAB,3
1718F,1718,ARCH,8
1718F,1718,ARHA,23
1718F,1718,ASLC,19
1718F,1718,ASTR,4
1718F,1718,BCBP,3
1718F,1718,BIOL,14
1718F,1718,BLST,24
1718F,1718,CHEM,9
1718F,1718,CHIN,4
1718F,1718,CLAS,3
1718F,1718,COLQ,1
1718F,1718,COSC,7
1718F,1718,ECON,14
1718F,1718,ENGL,32
1718F,1718,ENST,5
1718F,1718,EUST,13
1718F,1718,FAMS,14
1718F,1718,FREN,11
1718F,1718,FYSE,34
1718F,1718,GEOL,7
1718F,1718,GERM,7
1718F,1718,GREE,3
1718F,1718,HIST,31
1718F,1718,JAPA,15
1718F,1718,LATI,3
1718F,1718,LJST,9
1718F,1718,MATH,17
1718F,1718,MIXD,92
1718F,1718,MUSI,13
1718F,1718,MUSL,103
1718F,1718,NEUR,3
1718F,1718,PHIL,8
1718F,1718,PHYS,9
1718F,1718,POSC,19
1718F,1718,PSYC,12
1718F,1718,RELI,10
1718F,1718,RUSS,9
1718F,1718,SOCI,8
1718F,1718,SPAN,12
1718F,1718,STAT,8
1718F,1718,SWAG,11
1718F,1718,THDA,19
1718S,1718,AMST,15
1718S,1718,ANTH,19
1718S,1718,ARAB,3
1718S,1718,ARCH,9
1718S,1718,ARHA,29
1718S,1718,ASLC,27
1718S,1718,ASTR,3
1718S,1718,BCBP,4
1718S,1718,BIOL,14
1718S,1718,BLST,22
1718S,1718,CHEM,11
1718S,1718,CHIN,4
1718S,1718,CLAS,2
1718S,1718,COLQ,6
1718S,1718,COSC,5
1718S,1718,ECON,14
1718S,1718,ENGL,46
1718S,1718,ENST,8
1718S,1718,EUST,19
1718S,1718,FAMS,14
1718S,1718,FREN,10
1718S,1718,GEOL,6
1718S,1718,GERM,9
1718S,1718,GREE,4
1718S,1718,HIST,42
1718S,1718,JAPA,15
1718S,1718,LATI,3
1718S,1718,LJST,10
1718S,1718,MATH,21
1718S,1718,MIXD,117
1718S,1718,MUSI,18
1718S,1718,MUSL,104
1718S,1718,NEUR,3
1718S,1718,PHIL,7
1718S,1718,PHYS,10
1718S,1718,POSC,19
1718S,1718,PSYC,15
1718S,1718,RELI,13
1718S,1718,RUSS,10
1718S,1718,SOCI,5
1718S,1718,SPAN,11
1718S,1718,STAT,8
1718S,1718,SWAG,19
1718S,1718,THDA,19
1819F,1819,AMST,12
1819F,1819,ANTH,12
1819F,1819,ARAB,3
1819F,1819,ARCH,8
1819F,1819,ARHA,27
1819F,1819,ASLC,16
1819F,1819,ASTR,3
1819F,1819,BCBP,1
1819F,1819,BIOL,12
1819F,1819,BLST,22
1819F,1819,CHEM,8
1819F,1819,CHIN,6
1819F,1819,CLAS,1
1819F,1819,COLQ,1
1819F,1819,COSC,6
1819F,1819,ECON,20
1819F,1819,ENGL,35
1819F,1819,ENST,8
1819F,1819,EUST,8
1819F,1819,FAMS,13
1819F,1819,FREN,10
1819F,1819,FYSE,34
1819F,1819,GEOL,5
1819F,1819,GERM,7
1819F,1819,GREE,3
1819F,1819,HIST,26
1819F,1819,JAPA,15
1819F,1819,LATI,3
1819F,1819,LJST,9
1819F,1819,LLAS,1
1819F,1819,MATH,17
1819F,1819,MIXD,102
1819F,1819,MUSI,15
1819F,1819,MUSL,104
1819F,1819,NEUR,3
1819F,1819,PHIL,11
1819F,1819,PHYS,12
1819F,1819,POSC,17
1819F,1819,PSYC,14
1819F,1819,RELI,12
1819F,1819,RUSS,12
1819F,1819,SOCI,10
1819F,1819,SPAN,12
1819F,1819,STAT,9
1819F,1819,SWAG,27
1819F,1819,THDA,19
1819S,1819,AMST,15
1819S,1819,ANTH,11
1819S,1819,ARAB,3
1819S,1819,ARCH,9
1819S,1819,ARHA,35
1819S,1819,ASLC,23
1819S,1819,ASTR,2
1819S,1819,BCBP,3
1819S,1819,BIOL,16
1819S,1819,BLST,30
1819S,1819,CHEM,7
1819S,1819,CHIN,4
1819S,1819,CLAS,2
1819S,1819,COLQ,7
1819S,1819,COSC,7
1819S,1819,ECON,16
1819S,1819,ENGL,47
1819S,1819,ENST,8
1819S,1819,EUST,12
1819S,1819,FAMS,20
1819S,1819,FREN,11
1819S,1819,GEOL,5
1819S,1819,GERM,9
1819S,1819,GREE,4
1819S,1819,HIST,37
1819S,1819,JAPA,14
1819S,1819,LATI,3
1819S,1819,LJST,12
1819S,1819,MATH,21
1819S,1819,MIXD,120
1819S,1819,MUSI,21
1819S,1819,MUSL,105
1819S,1819,NEUR,4
1819S,1819,PHIL,6
1819S,1819,PHYS,7
1819S,1819,POSC,18
1819S,1819,PSYC,16
1819S,1819,RELI,13
1819S,1819,RUSS,9
1819S,1819,SOCI,7
1819S,1819,SPAN,15
1819S,1819,STAT,5
1819S,1819,SWAG,31
1819S,1819,THDA,18
1920F,1920,AMST,11
1920F,1920,ANTH,9
1920F,1920,ARAB,4
1920F,1920,ARCH,13
1920F,1920,ARHA,30
1920F,1920,ASLC,15
1920F,1920,ASTR,4
1920F,1920,BCBP,4
1920F,1920,BIOL,15
1920F,1920,BLST,17
1920F,1920,CHEM,8
1920F,1920,CHIN,6
1920F,1920,CLAS,3
1920F,1920,COLQ,1
1920F,1920,COSC,10
1920F,1920,ECON,21
1920F,1920,ENGL,36
1920F,1920,ENST,5
1920F,1920,EUST,8
1920F,1920,FAMS,12
1920F,1920,FREN,9
1920F,1920,FYSE,25
1920F,1920,GEOL,5
1920F,1920,GERM,6
1920F,1920,GREE,3
1920F,1920,HIST,20
1920F,1920,JAPA,14
1920F,1920,LATI,3
1920F,1920,LJST,9
1920F,1920,LLAS,11
1920F,1920,MATH,17
1920F,1920,MIXD,95
1920F,1920,MUSI,15
1920F,1920,MUSL,105
1920F,1920,NEUR,4
1920F,1920,PHIL,12
1920F,1920,PHYS,7
1920F,1920,POSC,21
1920F,1920,PSYC,15
1920F,1920,RELI,8
1920F,1920,RUSS,9
1920F,1920,SOCI,8
1920F,1920,SPAN,9
1920F,1920,STAT,9
1920F,1920,SWAG,19
1920F,1920,THDA,17
1920S,1920,AMST,19
1920S,1920,ANTH,10
1920S,1920,ARAB,4
1920S,1920,ARCH,9
1920S,1920,ARHA,34
1920S,1920,ASLC,18
1920S,1920,ASTR,4
1920S,1920,BCBP,4
1920S,1920,BIOL,18
1920S,1920,BLST,34
1920S,1920,CHEM,12
1920S,1920,CHIN,4
1920S,1920,CLAS,2
1920S,1920,COLQ,7
1920S,1920,COSC,8
1920S,1920,ECON,18
1920S,1920,ENGL,45
1920S,1920,ENST,6
1920S,1920,EUST,7
1920S,1920,FAMS,18
1920S,1920,FREN,11
1920S,1920,GEOL,4
1920S,1920,GERM,8
1920S,1920,GREE,4
1920S,1920,HIST,42
1920S,1920,JAPA,15
1920S,1920,LATI,3
1920S,1920,LJST,12
1920S,1920,LLAS,20
1920S,1920,MATH,18
1920S,1920,MIXD,137
1920S,1920,MUSI,18
1920S,1920,MUSL,106
1920S,1920,NEUR,4
1920S,1920,PHIL,6
1920S,1920,PHYS,12
1920S,1920,POSC,19
1920S,1920,PSYC,16
1920S,1920,RELI,15
1920S,1920,RUSS,12
1920S,1920,SOCI,16
1920S,1920,SPAN,15
1920S,1920,STAT,8
1920S,1920,SWAG,25
1920S,1920,THDA,18
2021F,2021,AMST,13
2021F,2021,ANTH,10
2021F,2021,ARAB,4
2021F,2021,ARCH,19
2021F,2021,ARHA,35
2021F,2021,ASLC,16
2021F,2021,ASTR,3
2021F,2021,BCBP,3
2021F,2021,BIOL,13
2021F,2021,BLST,20
2021F,2021,CHEM,8
2021F,2021,CHIN,4
2021F,2021,CLAS,2
2021F,2021,COLQ,1
2021F,2021,COSC,7
2021F,2021,ECON,16
2021F,2021,ENGL,32
2021F,2021,ENST,8
2021F,2021,EUST,12
2021F,2021,FAMS,19
2021F,2021,FREN,10
2021F,2021,FYSE,25
2021F,2021,GEOL,6
2021F,2021,GERM,10
